bairro,area_quartos,enderecos_lista,aluguel
lourdes,350 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",18.000
lourdes,320 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",17.600
lourdes,593 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",17.000
lourdes,"2,880 m² totais","Lourdes, Belo Horizonte, Minas Gerais",158.400
lourdes,600 m² construídos5 quartos,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",15.000
lourdes,555 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",15.000
lourdes,250 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",15.000
lourdes,300 m² construídos4 quartos,"Rua Espírito Santo, Lourdes, Belo Horizonte, Minas Gerais",15.000
lourdes,700 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",14.500
lourdes,429 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",14.000
lourdes,378 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",14.000
lourdes,"3,000 m² construídos","Lourdes, Belo Horizonte, Minas Gerais",138.000
lourdes,"1,724 m² construídos","Avenida Do Contorno, Lourdes, Belo Horizonte, Minas Gerais",130.000
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",13.900
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",13.500
lourdes,491 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",13.041
lourdes,400 m² construídos6 quartos,"Lourdes, Belo Horizonte, Minas Gerais",13.000
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",13.000
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",13.000
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",13.000
lourdes,"4,000 m² construídos","Lourdes, Belo Horizonte, Minas Gerais",120.000
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",12.800
lourdes,450 m² construídos4 quartos,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",12.750
lourdes,450 m² construídos4 quartos,"R. Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",12.700
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",12.500
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",12.500
lourdes,588 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",12.500
lourdes,300 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",12.480
lourdes,170 m² construídos4 quartos,"Rua Curitiba, Lourdes, Belo Horizonte, Minas Gerais",12.000
lourdes,493 m² construídos10 quartos,"Lourdes, Belo Horizonte, Minas Gerais",12.000
lourdes,220 m² construídos,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",11.966
lourdes,188 m² construídos,"Lourdes - Belo Horizonte/mg, Lourdes, Belo Horizonte, Minas Gerais",11.281
lourdes,192 m² construídos3 quartos,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",11.000
lourdes,357 m² construídos4 quartos,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",11.000
lourdes,184 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",10.500
lourdes,184 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",10.500
lourdes,184 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,185 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,184 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,350 m² construídos5 quartos,"Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,350 m² construídos4 quartos,"Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,305 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,250 m² construídos4 quartos,"Rua Espírito Santo, Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,160 m² construídos,"Rua Felipe Dos Santos, Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,305 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",10.000
lourdes,30 m² construídos,"Rua Tomaz Gonzaga, Lourdes, Belo Horizonte, Minas Gerais",1.900
lourdes,40 m² construídos1 quarto,"Avenida Bias Fortes, Lourdes, Belo Horizonte, Minas Gerais",1.900
lourdes,35 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",1.890
lourdes,65 m² construídos2 quartos,"Rua Dos Guajajaras, Lourdes, Belo Horizonte, Minas Gerais",1.890
lourdes,50 m² construídos1 quarto,"Rua Gonçalves Dias, Lourdes, Belo Horizonte, Minas Gerais",1.850
lourdes,55 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",1.800
lourdes,45 m² construídos1 quarto,"R. Bernardo Guimarães, 1711 - Funcionários, Belo Horizonte - Mg, 30140-082, Brasil, Lourdes, Belo Horizonte, Minas Gerais",1.800
lourdes,39 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",1.800
lourdes,28 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.800
lourdes,11 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.800
